county,office,district,town,precinct,candidate,party,votes,state_election_id
Addison,State House,ADD-1,Middlebury,,Betty A. Nuovo,Democratic,486,68484
Addison,State House,ADD-1,Middlebury,,Paul Ralston,Democratic,446,68484
Addison,State House,ADD-1,Middlebury,,Write Ins,Democratic,8,68484
Addison,State House,ADD-1,Middlebury,,Blanks,Democratic,230,68484
Addison,State House,ADD-1,Middlebury,,Total Votes Cast,Democratic,"1,170",68484
Addison,State House,ADD-2,Cornwall,,Willem Jewett,Democratic,123,68485
Addison,State House,ADD-2,Goshen,,Willem Jewett,Democratic,19,68485
Addison,State House,ADD-2,Hancock,,Willem Jewett,Democratic,11,68485
Addison,State House,ADD-2,Leicester,,Willem Jewett,Democratic,38,68485
Addison,State House,ADD-2,Ripton,,Willem Jewett,Democratic,73,68485
Addison,State House,ADD-2,Salisbury,,Willem Jewett,Democratic,43,68485
Addison,State House,ADD-2,Cornwall,,Write Ins,Democratic,1,68485
Addison,State House,ADD-2,Goshen,,Write Ins,Democratic,0,68485
Addison,State House,ADD-2,Hancock,,Write Ins,Democratic,0,68485
Addison,State House,ADD-2,Leicester,,Write Ins,Democratic,0,68485
Addison,State House,ADD-2,Ripton,,Write Ins,Democratic,0,68485
Addison,State House,ADD-2,Salisbury,,Write Ins,Democratic,0,68485
Addison,State House,ADD-2,Cornwall,,Blanks,Democratic,17,68485
Addison,State House,ADD-2,Goshen,,Blanks,Democratic,2,68485
Addison,State House,ADD-2,Hancock,,Blanks,Democratic,2,68485
Addison,State House,ADD-2,Leicester,,Blanks,Democratic,5,68485
Addison,State House,ADD-2,Ripton,,Blanks,Democratic,6,68485
Addison,State House,ADD-2,Salisbury,,Blanks,Democratic,11,68485
Addison,State House,ADD-2,Cornwall,,Total Votes Cast,Democratic,141,68485
Addison,State House,ADD-2,Goshen,,Total Votes Cast,Democratic,21,68485
Addison,State House,ADD-2,Hancock,,Total Votes Cast,Democratic,13,68485
Addison,State House,ADD-2,Leicester,,Total Votes Cast,Democratic,43,68485
Addison,State House,ADD-2,Ripton,,Total Votes Cast,Democratic,79,68485
Addison,State House,ADD-2,Salisbury,,Total Votes Cast,Democratic,54,68485
Addison,State House,ADD-3,Addison,,Diane Lanpher,Democratic,59,68486
Addison,State House,ADD-3,Ferrisburgh,,Diane Lanpher,Democratic,147,68486
Addison,State House,ADD-3,Panton,,Diane Lanpher,Democratic,35,68486
Addison,State House,ADD-3,Vergennes,,Diane Lanpher,Democratic,117,68486
Addison,State House,ADD-3,Waltham,,Diane Lanpher,Democratic,34,68486
Addison,State House,ADD-3,Addison,,Arabella Holzapfel,Democratic,36,68486
Addison,State House,ADD-3,Ferrisburgh,,Arabella Holzapfel,Democratic,103,68486
Addison,State House,ADD-3,Panton,,Arabella Holzapfel,Democratic,18,68486
Addison,State House,ADD-3,Vergennes,,Arabella Holzapfel,Democratic,85,68486
